4822	3102	4.357
4447	927	3.594
396	1608	4.538
578	1253	3.887
4474	1104	4.111
910	2686	4.077
1544	2900	1.834
4098	3173	3.104
2674	3296	4.070
4169	1016	3.168
1337	507	2.264
3443	1270	3.957
1594	593	3.728
2172	2555	2.728
5485	3545	3.221
4314	2990	3.751
3380	110	4.079
2974	2	3.426
1137	2857	4.375
5492	1343	4.004
2351	2428	2.279
5532	2622	2.842
4251	2321	4.015
1534	2916	4.385
4547	2081	4.234
1498	1590	1.925
3543	2208	3.409
166	318	4.638
279	1566	4.036
5202	2762	4.634
3449	524	3.555
987	448	3.375
352	222	3.508
5763	2163	3.636
342	919	3.894
4375	2324	4.000
1226	1300	4.796
4775	3089	4.421
5336	3930	3.619
5640	3173	3.325
579	3354	4.087
3079	2311	2.791
5797	2352	4.442
4361	1168	2.764
4409	3811	2.970
3191	1210	2.900
2848	1645	3.162
194	260	4.179
1276	1193	4.451
2761	1257	3.540
3534	2132	4.747
5042	3105	3.660
2536	541	4.502
5031	70	2.828
1831	1584	4.134
2208	368	3.549
31	3037	4.602
4941	2040	1.236
2074	2411	2.194
1535	2109	3.972
824	1625	3.442
1383	3767	1.291
5806	441	4.123
5490	3090	3.689
1559	782	3.211
3390	1201	3.251
4361	392	3.064
3500	1919	3.821
2621	1307	4.443
617	2038	3.917
4187	1639	3.240
955	1207	4.423
2034	3784	3.215
2730	460	1.481
1180	912	4.021
4592	3039	3.089
4218	1353	4.413
1608	1748	3.942
5836	3093	3.317
5847	110	3.704
1989	111	4.506
558	253	3.987
3215	906	3.806
2714	1206	4.236
4743	780	3.962
1934	2393	3.949
3046	2120	3.432
2904	913	4.232
2324	3701	3.515
777	720	4.013
2747	2023	4.323
2020	2717	3.958
3634	931	3.774
4747	1097	4.149
934	1246	3.304
1937	1333	3.802
2600	357	2.958
1033	1276	4.668
2696	3114	3.872
1158	1073	3.002
4196	1245	3.898
1564	2968	3.781
4832	1230	3.589
1480	39	3.262
427	3359	3.887
286	260	3.868
6018	3634	3.336
859	2110	3.757
40	2551	3.357
3841	1396	3.613
515	3160	3.900
5152	3753	2.817
5491	2667	2.666
25	714	3.745
1962	1270	3.189
1815	3114	4.666
4251	1517	4.630
3825	1732	3.511
4477	1687	2.685
484	1220	4.206
2673	50	4.336
3617	3342	3.530
4503	588	3.989
1130	3176	3.881
1176	1264	3.481
1126	780	3.391
4026	1635	2.636
3661	3948	3.557
5410	2529	3.998
5160	144	3.313
438	17	2.917
1409	1376	4.021
5152	2485	2.168
151	1183	3.570
280	3361	4.008
1892	2942	3.881
4891	3263	1.906
2074	955	3.332
2421	2406	3.423
2344	1204	4.447
1430	2907	1.685
2825	2968	3.509
1257	2935	4.085
86	461	4.002
4698	412	4.113
5057	355	2.089
2107	1855	2.104
2570	2081	2.991
5122	1956	3.958
4586	110	3.643
2479	780	3.751
5916	2944	4.266
256	1370	4.309
1583	562	3.675
1315	1569	3.791
3318	2133	3.175
5799	288	3.043
5173	2288	3.170
4301	903	4.498
2526	3196	4.336
3074	2019	4.328
1689	1997	3.817
2000	3510	4.074
2350	2770	3.630
1952	2795	4.285
518	3034	3.675
1626	3578	4.613
5551	914	4.030
5738	527	4.077
150	2485	3.685
173	2804	3.847
4990	413	2.292
1714	1358	4.736
1468	3334	3.881
1291	2687	3.809
2995	2881	2.794
3530	3173	3.485
4277	39	3.811
4142	3011	4.000
2423	1617	3.357
2756	1517	4.158
2484	1895	4.306
3794	951	4.019
5993	2496	2.932
1217	2321	3.615
1756	2926	3.728
4347	1370	3.358
1231	1876	3.002
3045	1517	3.608
469	945	3.374
2502	3112	3.466
3630	2145	3.160
4314	3812	3.975
4743	1772	3.309
2930	419	3.058
4694	3744	3.091
1326	2002	3.202
5079	2395	4.162
2015	122	3.025
2707	25	3.592
1007	2366	4.209
4144	2000	3.642
