5483	2929	5
920	95	2.31961
440	2916	2.25691
2510	2194	4.38967
3810	3011	4.16149
3939	1401	2.90254
138	1221	4.66428
3543	3644	3.50908
3163	1307	3.1598
1659	24	2.96287
6017	912	4.68805
2376	1375	3.23676
3209	3418	2.82738
4003	750	4.6668
3634	3067	3.48596
1956	2942	2.87883
1585	2396	3.20092
3932	1411	2.64449
1233	2003	4.05704
4756	207	3.72618
2000	1855	2.65947
3398	3753	4.3162
52	3006	4.6807
3501	1370	4.33322
2733	459	2.23441
5621	2007	3.24921
3433	232	3.32769
3818	3016	2.16083
5669	177	3.69857
2140	2987	2.59994
2125	1259	4.70031
5769	2392	1.68004
3860	2081	3.28284
5042	1124	5
3146	3254	2.42535
4495	1080	4.27076
2000	1982	3.73114
6028	3745	3.59866
4743	2746	3.56794
1828	3175	4.65056
5357	2701	2.43414
1299	3729	1.66401
1827	2997	3.95748
3946	3916	4.41763
4402	161	3.63377
2323	2600	2.38997
2673	1923	5
2044	473	2.05688
1696	94	2.88241
4953	3362	3.62329
2494	2968	4.549
2188	1249	4.5956
1361	3052	2.94493
1174	2301	3.82728
1240	2002	5
4724	994	4.28769
1568	3398	2.5118
3018	1197	4.42604
3301	3926	2.9165
5110	39	4.56319
263	2661	3.47
16	2724	2.43618
1824	141	3.06659
5235	1256	5
3706	1252	3.76865
4229	1959	4.16341
289	296	3.23546
5910	593	3.93196
1929	1079	4.54062
5078	1949	4.30212
152	3196	4.44399
2554	2871	3.25012
4840	2710	4.33426
4083	38	2.5597
5890	1126	2.22068
4627	316	4.37031
5447	2406	3.8974
1350	1177	2.11305
2523	1186	4.48319
39	381	3.33948
4005	213	4.0952
1143	858	5
3831	921	3.6399
3231	1888	3.08263
5524	1639	4.01281
4347	2987	4.16582
4459	457	3.6039
956	1094	4.7587
4031	700	1.98736
3981	1343	2.84142
2976	1523	2.99353
1239	2643	1.92902
111	1	4.76447
3641	858	3.05024
5888	2694	4.18993
2433	2683	3.37894
4838	265	4.30299
884	745	3.63976
4640	261	4.70875
407	2423	4.9257
785	597	4.53453
4180	1955	3.69626
1690	1968	4.12265
5846	1305	3.03671
344	3301	3.61727
2245	2137	3.32893
5760	1193	4.98603
1582	1263	4.30798
1301	1407	5
785	1042	4.12814
2238	1304	4.097
2534	1923	3.37583
2782	858	4.311
5003	515	4.3886
2769	1954	3.97428
1620	3798	1.52996
5532	1527	3.86201
5173	1341	3.13593
3838	468	3.6905
198	1022	2.2514
3122	1079	4.14827
4053	2243	4.29912
5988	1611	4.69884
